,forecast
2025-09-03 14:00:00+07:00,88.20722200932192
2025-09-03 14:05:00+07:00,88.20722200932192
2025-09-03 14:10:00+07:00,91.05388615689313
2025-09-03 14:15:00+07:00,91.05388615689313
2025-09-03 14:20:00+07:00,91.05388615689313
2025-09-03 14:25:00+07:00,93.84061200169185
2025-09-03 14:30:00+07:00,91.05388615689313
2025-09-03 14:35:00+07:00,90.59674899500455
2025-09-03 14:40:00+07:00,91.05388615689313
2025-09-03 14:45:00+07:00,91.05388615689313
2025-09-03 14:50:00+07:00,91.05388615689313
2025-09-03 14:55:00+07:00,90.59674899500455
