,forecast
2025-09-02 09:40:00+00:00,78.36840009045602
2025-09-02 09:45:00+00:00,81.59346677870752
2025-09-02 09:50:00+00:00,96.10186725743617
2025-09-02 09:55:00+00:00,92.14296703750988
2025-09-02 10:00:00+00:00,89.9104337121874
2025-09-02 10:05:00+00:00,88.25480046761831
2025-09-02 10:10:00+00:00,91.96200045255027
2025-09-02 10:15:00+00:00,91.9278337076823
2025-09-02 10:20:00+00:00,89.29816706612905
2025-09-02 10:25:00+00:00,92.70870049336756
2025-09-02 10:30:00+00:00,92.5522670373917
2025-09-02 10:35:00+00:00,90.82650030988057
